OMP: Warning #181: OMP_PROC_BIND: ignored because KMP_AFFINITY has been defined
OMP: Warning #181: OMP_PLACES: ignored because KMP_AFFINITY has been defined
Running with MNTh=32 and MNTr=1024 and MAL=262144
mquanta[B], num_threads, num_thransactions, length, memsize[B], r_time[s], w_time[s], rw_time[s], r_bw[B/s], w_bw[B/s], rw_bw[B/s]
4 32 2 262144 6.71089e+07 0.00112561 0.00173638 0.00252986 5.96202e+10 3.86488e+10 2.65267e+10
4 32 4 1 512 2.544e-06 1.874e-06 2.164e-06 2.01258e+08 2.73212e+08 2.36599e+08
4 32 4 2 1024 2.572e-06 1.794e-06 1.98e-06 3.98134e+08 5.70792e+08 5.17172e+08
4 32 4 4 2048 2.582e-06 1.779e-06 1.796e-06 7.93184e+08 1.15121e+09 1.14031e+09
4 32 4 8 4096 2.672e-06 1.895e-06 1.949e-06 1.53293e+09 2.16148e+09 2.10159e+09
4 32 4 16 8192 3.194e-06 4.23e-06 4.447e-06 2.56481e+09 1.93664e+09 1.84214e+09
4 32 4 32 16384 2.702e-06 2.013e-06 2.045e-06 6.06366e+09 8.1391e+09 8.01174e+09
4 32 4 64 32768 2.758e-06 2.103e-06 2.233e-06 1.18811e+10 1.55816e+10 1.46744e+10
4 32 4 128 65536 2.706e-06 2.218e-06 2.156e-06 2.42188e+10 2.95473e+10 3.0397e+10
4 32 4 256 131072 2.804e-06 2.306e-06 2.409e-06 4.67447e+10 5.68395e+10 5.44093e+10
4 32 4 512 262144 2.668e-06 2.445e-06 2.583e-06 9.82549e+10 1.07216e+11 1.01488e+11
4 32 4 1024 524288 2.956e-06 2.956e-06 3.202e-06 1.77364e+11 1.77364e+11 1.63738e+11
4 32 4 2048 1.04858e+06 3.859e-06 4.231e-06 4.808e-06 2.71722e+11 2.47832e+11 2.1809e+11
4 32 4 4096 2.09715e+06 5.022e-06 6.869e-06 7.549e-06 4.17593e+11 3.05307e+11 2.77805e+11
4 32 4 8192 4.1943e+06 8.507e-06 1.2698e-05 1.3568e-05 4.93041e+11 3.30312e+11 3.09132e+11
4 32 4 16384 8.38861e+06 2.4202e-05 3.0816e-05 3.6112e-05 3.46608e+11 2.72216e+11 2.32294e+11
4 32 4 32768 1.67772e+07 4.8123e-05 6.555e-05 7.1668e-05 3.48632e+11 2.55945e+11 2.34096e+11
4 32 4 65536 3.35544e+07 9.0046e-05 0.000134029 0.000137564 3.72637e+11 2.50352e+11 2.43919e+11
4 32 4 131072 6.71089e+07 0.0011405 0.00175112 0.00252973 5.88418e+10 3.83234e+10 2.65281e+10
4 32 4 262144 1.34218e+08 0.00252332 0.00416611 0.00512172 5.3191e+10 3.22166e+10 2.62056e+10
4 32 8 1 1024 2.736e-06 1.93e-06 2.188e-06 3.74269e+08 5.3057e+08 4.68007e+08
4 32 8 2 2048 7.923e-06 1.961e-06 1.871e-06 2.58488e+08 1.04437e+09 1.0946e+09
4 32 8 4 4096 2.563e-06 1.915e-06 1.862e-06 1.59813e+09 2.1389e+09 2.19979e+09
4 32 8 8 8192 2.6e-06 1.894e-06 1.914e-06 3.15077e+09 4.32524e+09 4.28004e+09
